d_cutoff,description,solve_time,binary_pct,ternary_pct,total_clauses,status
4,K+1 (minimal),97.398,84.61,18.493685911387058,3096884,success
11,UB (theoretical),83.173,74.71,34.69091190575883,3410484,success
12,UB+1,49.017,74.05,36.613477539943986,3452084,success
13,UB+2,299.377,70.22,38.45326669880821,3492884,success
14,UB+3,134.044,70.25,40.21439707615648,3532884,success
15,UB+4,385.456,67.53,41.90069438456654,3572084,success
20,Large gap,93.544,63.74,49.32605341094608,3756084,success
30,Very large gap,107.622,53.76,60.15446531124849,4064084,success
